0;Montag;2;08:55;09:45;Konferenzzimmer
1;Montag;3;10:00;10:50;Konferenzzimmer
2;Montag;4;10:55;11:45;Konferenzzimmer
3;Montag;5;11:55;12:45;Konferenzzimmer
4;Montag;6;12:50;13:40;Konferenzzimmer
5;Montag;7;13:50;14:40;Konferenzzimmer
6;Dienstag;2;08:55;09:45;Konferenzzimmer
7;Dienstag;3;10:00;10:50;Bibliothek
8;Dienstag;3;10:00;10:50;Konferenzzimmer
9;Dienstag;4;10:55;11:45;Konferenzzimmer
10;Dienstag;5;11:55;12:45;Konferenzzimmer
11;Dienstag;6;12:50;13:40;Konferenzzimmer
12;Dienstag;10;16:20;17:10;Konferenzzimmer
13;Mittwoch;3;10:00;10:50;Konferenzzimmer
14;Mittwoch;4;10:55;11:45;Konferenzzimmer
15;Mittwoch;5;11:55;12:45;Konferenzzimmer
16;Mittwoch;6;12:50;13:40;Konferenzzimmer
17;Mittwoch;6,5;13:10;13:40;Konferenzzimmer
18;Mittwoch;7;13:50;14:40;Konferenzzimmer
19;Mittwoch;7,5;14:10;14:40;Konferenzzimmer
20;Mittwoch;8;14:40;15:30;Konferenzzimmer
21;Donnerstag;1;08:00;08:50;Administration
22;Donnerstag;2;08:55;09:45;Konferenzzimmer
23;Donnerstag;3;10:00;10:50;Bibliothek
24;Donnerstag;4;10:55;11:45;Konferenzzimmer
25;Donnerstag;5;11:55;12:45;Konferenzzimmer
26;Donnerstag;6;12:50;13:40;Konferenzzimmer
27;Donnerstag;7;13:50;14:40;Konferenzzimmer
28;Freitag;2;08:55;09:45;Konferenzzimmer
29;Freitag;3;10:00;10:50;Konferenzzimmer
30;Freitag;4;10:55;11:45;Konferenzzimmer
31;Freitag;5;11:55;12:45;Konferenzzimmer
